EquipmentSystemCode,EquipmentName,region,GovName,CityName,HospitalName,EquipmentCondition,EquipmentStatus,DepartmentName,EquipmentOrgin,ManufacturerName,VendorName,EquipmentPurchaseCost,EquipmentPurchaseDate,EquipmentInstallDate,EquipmentExpectedLifeTime,EquipmentWarrantyExpiresDate
ac59d0cb-8c39-4935-82cd-7fa27b3665fe,Electrocardiographs Single-Channel,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,ج حريم,NA,Fukuda,NA,13000,3/3/2016,3/3/2016,3/3/2021,3/3/2021
b15434ef-27e7-49fe-9ca6-d355f19f5d09,"Incubators, Infant, Mobile",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Neonates,NA,CHINA,NA,10138,3/20/2016,3/20/2016,3/20/2021,3/20/2021
c02c546e-48d6-4f6b-9520-f25927faa6a6,"Phototherapy Units, Neonatal",الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Working,مبتسرين,NA,NA,NA,2000,4/24/2016,4/24/2016,4/24/2021,4/24/2021
c17e8324-02d1-42e9-afde-364bcce7e285,"Lights Surgical, General",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Operation room,NA,Martin,NA,118132,4/24/2016,4/24/2016,4/24/2021,4/24/2021
c23b0be0-3331-4327-9f08-36bb959f38d4,"Stimulators, Muscle",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Physical Therapy,NA,GYMNA,NA,13500,4/2/2016,4/2/2016,4/2/2021,4/2/2021
c274374a-1e3f-4ea4-85dc-53f392f42602,Electrocardiographs Single-Channel,الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Need Repair,عناية مركزه,NA,Fukuda,NA,14750,6/13/2016,6/13/2016,6/13/2021,6/13/2021
c68240a4-a157-44c9-ae38-94b77f6f8365,"Oximeters, Pulse",الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Working,مبتسرين,NA,Charmcare,NA,4400,1/11/2016,1/11/2016,1/11/2021,1/11/2021
ca73496f-2ba5-4f7f-a936-1e7957ca010d,"Stress Electrocardiography Monitoring Systems, Cardiac",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,رسم قلب بالمجهود,NA,SCHILLER,NA,127150,4/22/2016,4/22/2016,4/22/2021,4/22/2021
cb1be66f-7ca3-463d-82ec-55afd27b8d96,"Lights Surgical, General",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Operation room,NA,Martin,NA,0,4/25/2016,4/25/2016,4/25/2021,4/25/2021
d8842d03-b9bc-40d9-8f9d-2701924b9f37,Photometers,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Lab,NA,"""BoehringerMannheim""",NA,30000,3/28/2016,3/28/2016,3/28/2021,3/28/2021
de557c71-0c39-481f-bdbe-576e7111d5c8,Traction System,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Physical Therapy,NA,AKRON PRODUCTS,NA,22000,4/3/2016,4/3/2016,4/3/2021,4/3/2021
debd6f4f-737a-4bb7-9cdd-e07ee448840a,"Incubators, Laboratory, Aerobic",الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Blood bank,NA,HELMER,NA,76000,4/20/2016,4/20/2016,4/20/2021,4/20/2021
e1646693-8da7-4175-b4f2-e1dea46d5ffd,"Ultrasound Scanning Systems, General-Purpose",الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Need Repair,عياده اشعه تلفزيونيه,NA,GE,NA,346000,5/29/2016,5/29/2016,5/29/2021,5/29/2021
e86da94c-e3c1-48f7-91f7-caccf345cc28,Hemodialysis Units,الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Working,الغسيل الكلوي,NA,Fresenius,NA,82000,4/23/2016,4/23/2016,4/23/2021,4/23/2021
efa1ef57-910b-4356-a260-a9898a8dd96d,Syringe Pumps,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Neonates,NA,Fresenius,NA,8000,3/23/2016,3/23/2016,3/23/2021,3/23/2021
f81cdc05-3eb8-462d-972f-b060d9d9f64e,Syringe Pumps,الإسكندرية/ الساحل,الإسكندرية,الجمرك,23 Hospital,AsBuild,Working,Neonates,NA,SK,NA,3200,3/16/2016,3/16/2016,3/16/2021,3/16/2021
ff13938c-c78e-4f4c-97d9-55918a3ba7b8,"Oximeters, Pulse",الإسكندرية/ الساحل,الإسكندرية,الجمرك,2 Hospital,AsBuild,Not Working,مبتسرين,NA,Charmcare,NA,4400,1/11/2016,1/11/2016,1/11/2021,1/11/2021
26c69cf7-f43c-4bc6-a9f8-81f7da7fb4c1,Infant Monitor,مدن القناة,السويس,الأربعين,49 Hospital,New,Working,Incubation Department,China,Guangdong Biolight,مديرية الشئون الصحية,9000,1/1/2016,1/1/2016,1/1/2026,1/1/2026
26cd2b56-c718-4008-be96-9f4ca823ba3d,Suction,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Emergency Department,Italy,Flowometer,مديرية الشئون الصحية,6500,1/1/2017,1/1/2017,1/1/2027,1/1/2027
2f7ccdf9-04de-4264-865f-d69851c35f4e,Suction,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Emergency Department,Italy,Flowometer,مديرية الشئون الصحية,6500,1/1/2017,1/1/2017,1/1/2027,1/1/2027
304ff9fd-3577-43c3-8a8b-67ee29ee1677,ventilator,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Incubation Department,Germany,NA,مديرية الشئون الصحية,68000,9/30/2016,9/30/2016,9/30/2026,9/30/2026
315a51f3-a4ff-415d-b8fd-d887bac1cae5,ميزان,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Incubation Department,Egypt,NA,تبرع,444,3/10/2016,3/10/2016,3/10/2026,3/10/2026
334e41d1-fd61-4f61-9ae5-7e0e99efad3a,Hemodialysis Machine,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Hemodialysis Department,France,fresinus,تبرع شركة سوميد,80000,9/20/2017,9/20/2017,9/20/2027,9/20/2027
33a271ce-aff3-47a3-ab41-c0bf8ee8c82d,450 drager air shilds,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Incubation Department,Germany,NA,القوات المسلحة,61000,3/26/2017,3/26/2017,3/26/2027,3/26/2027
34a400d3-5b33-4444-9bc5-663e8b8e86d2,Monitor,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Emergency Department,Japan,Vismo,مديرية الشئون الصحية,40000,2/25/2017,2/25/2017,2/25/2027,2/25/2027
34eb0004-6925-4179-90e7-760c34e129b5,ventilator,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Incubation Department,Germany,NA,مديرية الشئون الصحية,68000,9/30/2016,9/30/2016,9/30/2026,9/30/2026
41137aa8-e0dd-43b7-8f84-0099822d2df7,INFANT INCUBATOR,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Incubation Department,China,NA,القوات المسلحة,61000,3/26/2017,3/26/2017,3/26/2027,3/26/2027
44b0f1dd-ba35-48e7-8e73-eaa382779bfc,Hemodialysis Machine,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Hemodialysis Department,Germany,B.BRAUN,التموين الطبي العباسية,78780,2/15/2018,2/15/2018,2/15/2028,2/15/2028
482c0db9-2892-4b95-82ab-205f2d774962,Suction,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Emergency Department,Italy,Flowometer,مديرية الشئون الصحية,6500,1/1/2017,1/1/2017,1/1/2027,1/1/2027
d6bb6fbb-d613-4ed3-af74-dc132a3ddedb,Anesthesia Units,القاهرة الكبرى,القاهرة,البساتين,22 Hospital,AsBuild,Working,OR,NA,SPACELABS,NA,11832.09,6/18/2016,6/18/2016,6/18/2021,6/18/2021
e56219de-5381-4e51-ac39-c79190534652,"Monitoring Systems, Physiologic",القاهرة الكبرى,القاهرة,البساتين,22 Hospital,AsBuild,Working,OR,NA,SPACELABS,NA,4268.73,6/18/2016,6/18/2016,6/18/2021,6/18/2021
e62b5c48-1c08-4202-b918-69c98133163e,"Phototherapy Units, Neonatal",القاهرة الكبرى,القاهرة,البساتين,Mataraya Teaching Hospital,AsBuild,Working,الحضانات,NA,Mediex,NA,24940,4/13/2016,4/13/2016,4/13/2021,4/13/2021
3197cb9d-b2a6-49c9-ae98-89b5412b43c8,"Ultrasound Scanning Systems, General-Purpose",القاهرة الكبرى,الجيزة,اطفيح,70 Hospital,AsBuild,Working,I.C.U Departement,NA,Samsung medison,NA,36000,5/24/2016,5/24/2016,5/24/2021,5/24/2021
32445fdb-104c-4b55-a15c-b521fe37b2e8,"Tables, Operating",القاهرة الكبرى,الجيزة,اطفيح,70 Hospital,AsBuild,Working,operating room 3,NA,BARRFAB,NA,12800,6/23/2016,6/23/2016,6/23/2021,6/23/2021
506802a0-98a6-4476-b465-6dc6edbacf47,C-Arm Radiographic/Fluoroscopic,القاهرة الكبرى,الجيزة,اطفيح,70 Hospital,AsBuild,Working,operating room 3,NA,Intermedical CRL,NA,50800,5/24/2016,5/24/2016,5/24/2021,5/24/2021
51f35e7b-0a58-4a5d-b4d1-4a29af85d999,"Ultrasound Scanning Systems, General-Purpose",القاهرة الكبرى,الجيزة,اطفيح,70 Hospital,AsBuild,Working,عيادة الميسر,NA,Mindray,NA,12406.24,1/18/2016,1/18/2016,1/18/2021,1/18/2021
b84aeee1-e1a1-41a0-bb37-2a6fba1bc1e7,"Ultrasound Scanning Systems, General-Purpose",القاهرة الكبرى,الجيزة,اطفيح,70 Hospital,AsBuild,Working,GEM Clinic,NA,Samsung medison,NA,10800,9/5/2016,9/5/2016,9/5/2021,9/5/2021
0c44b114-a898-46a4-a7ff-1ec37e645c52,Beds Electric General,شرق الدلتا,الدقهلية,الجمالية,11 Hospital,AsBuild,Working,General and Psyco Med Care,Egypt,HOSPITAL BED,NA,16500,4/5/2016,4/5/2016,4/5/2026,4/5/2026
14c170d3-3724-4f29-a7bf-0395e056b09c,Slit Lamps,القاهرة الكبرى,القاهرة,البساتين,24 Hospital,AsBuild,Working,عيادة الرمد,NA,sunkingdom,NA,9850,1/27/2017,1/27/2017,1/27/2022,1/27/2022
2e19d645-e7ce-4089-827d-3466e2d93a02,"Phototherapy Units, Neonatal",القاهرة الكبرى,القاهرة,البساتين,Mataraya Teaching Hospital,AsBuild,Working,الحضانات,NA,Mediex,NA,25000,4/13/2016,4/13/2016,4/13/2021,4/13/2021
40880532-5aa9-4912-8482-dfc164a7a294,"Monitoring Systems, Physiologic",القاهرة الكبرى,القاهرة,البساتين,22 Hospital,AsBuild,Working,OR,NA,SPACELABS,NA,4268.73,6/18/2016,6/18/2016,6/18/2021,6/18/2021
42338613-1d43-4a23-9561-c99ca316bf9c,"Phototherapy Units, Neonatal",القاهرة الكبرى,القاهرة,البساتين,Mataraya Teaching Hospital,AsBuild,Working,الحضانات,NA,Mediex,NA,24940,4/13/2016,4/13/2016,4/13/2021,4/13/2021
62b6fcd7-fd7f-45a2-8f21-da3910b515a3,"Phototherapy Units, Neonatal",القاهرة الكبرى,القاهرة,البساتين,Mataraya Teaching Hospital,AsBuild,Working,الحضانات,NA,Mediex,NA,25000,4/13/2016,4/13/2016,4/13/2021,4/13/2021
66ff039f-967a-479d-aaa0-ed3a33faa6e5,Anesthesia Units,القاهرة الكبرى,القاهرة,البساتين,22 Hospital,AsBuild,Working,OR,NA,SPACELABS,NA,11832.09,6/18/2016,6/18/2016,6/18/2021,6/18/2021
7d4f4171-4254-40fd-88da-0d5854c71939,Syringe Pumps,القاهرة الكبرى,القاهرة,البساتين,22 Hospital,AsBuild,Not Working,Neonates,NA,B| BRAUN,NA,546,3/19/2016,3/19/2016,3/19/2021,3/19/2021
875f6a36-d710-439d-8994-3d3cdc9c9b4e,"Phototherapy Units, Neonatal",القاهرة الكبرى,القاهرة,البساتين,Mataraya Teaching Hospital,AsBuild,Working,الحضانات,NA,Mediex,NA,25000,4/13/2016,4/13/2016,4/13/2021,4/13/2021
893111a1-be0d-477f-b2e0-89abd93f3e6e,"Monitoring Systems, Physiologic",القاهرة الكبرى,القاهرة,البساتين,22 Hospital,AsBuild,Working,OR,NA,SPACELABS,NA,4268.73,6/18/2016,6/18/2016,6/18/2021,6/18/2021
8f3ef4a3-101f-45ac-a60d-11c551b1e58f,Heat Sealer,القاهرة الكبرى,القاهرة,البساتين,24 Hospital,AsBuild,Working,بنك الدم,NA,Elcon,NA,13500,11/9/2017,11/9/2017,11/9/2022,11/9/2022
9af955d9-d3d1-4eb0-993b-d7da645ef949,Syringe Pumps,القاهرة الكبرى,القاهرة,البساتين,22 Hospital,AsBuild,Working,Neonates,NA,B| BRAUN,NA,546,3/19/2016,3/19/2016,3/19/2021,3/19/2021
a1c0eec2-7b63-4c7d-affc-d0f281aa1ba9,Syringe Pumps,القاهرة الكبرى,القاهرة,البساتين,22 Hospital,AsBuild,Not Working,Abdominal,NA,B| BRAUN,NA,546,3/19/2016,3/19/2016,3/19/2021,3/19/2021
b6661ffd-1035-4088-b97b-b6bdd2f78970,Syringe Pumps,القاهرة الكبرى,القاهرة,البساتين,22 Hospital,AsBuild,Working,Neonates,NA,B| BRAUN,NA,546,3/19/2016,3/19/2016,3/19/2021,3/19/2021
b93d7c6d-caec-4822-8b40-2294da491071,Hemodialysis Units,القاهرة الكبرى,القاهرة,البساتين,22 Hospital,AsBuild,Working,Renal B,NA,Gambro,NA,7140,2/17/2016,2/17/2016,2/17/2021,2/17/2021
c6804a96-9227-48c1-9863-8a8d2851b211,"Electrocardiographs Multichannel, Noninterpretive",القاهرة الكبرى,القاهرة,البساتين,64 Hospital,AsBuild,Working,Intensive Care Unite,Egypt,Schiller,NA,0,7/2/2016,7/2/2016,7/2/2026,7/2/2026
d602f60a-749d-47f0-9dc0-86e8bffa5527,"Ophthalmoscopes, Indirect",القاهرة الكبرى,القاهرة,البساتين,24 Hospital,AsBuild,Working,عيادة الرمد,NA,Appasamy,NA,5500,1/27/2017,1/27/2017,1/27/2022,1/27/2022
0c82d5fa-fc6b-48f6-b69c-f99282cb5314,Beds Electric General,شرق الدلتا,الدقهلية,الجمالية,11 Hospital,AsBuild,Working,General and Psyco Med Care,Egypt,HOSPITAL BED,NA,16500,4/5/2016,4/5/2016,4/5/2026,4/5/2026
12ad822b-e552-4492-b644-8123a964d078,Beds Electric General,شرق الدلتا,الدقهلية,الجمالية,11 Hospital,AsBuild,Working,,Egypt,,NA,16500,4/5/2016,4/5/2016,4/5/2026,4/5/2026
17b73b9d-77c0-4561-9998-9a919585176d,"Monitoring Systems, Physiologic",شرق الدلتا,الدقهلية,الجمالية,11 Hospital,AsBuild,Working,Neonatal Department,Egypt,Nihon Kohden,NA,30000,7/21/2016,7/21/2016,7/21/2026,7/21/2026
239a08b1-ef48-4997-9b2e-4c01138836df,Beds Electric General,شرق الدلتا,الدقهلية,الجمالية,11 Hospital,AsBuild,Working,,Egypt,,NA,16500,4/5/2016,4/5/2016,4/5/2026,4/5/2026
289c4ced-f9ee-4e1e-9b9e-fb1b1fe90003,"Monitoring Systems, Physiologic",شرق الدلتا,الدقهلية,الجمالية,11 Hospital,AsBuild,Working,Ortho Operation,Egypt,Nihon Kohden,NA,35000,1/2/2016,1/2/2016,1/2/2026,1/2/2026
2f3081ae-2135-4171-8dcc-559b66499441,"Tables, Operating",شرق الدلتا,الدقهلية,الجمالية,11 Hospital,AsBuild,Working,,Egypt,,NA,375000,3/10/2016,3/10/2016,3/10/2026,3/10/2026
5025d067-e387-4a73-a9ef-c93a1af5fd9b,"Electrocardiographs Multichannel, Noninterpretive",شرق الدلتا,الدقهلية,الجمالية,11 Hospital,AsBuild,Working,,Egypt,,NA,29000,3/6/2017,3/6/2017,3/6/2027,3/6/2027
0f222ef4-e08a-4ffc-b344-89338e705a31,Monitor,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,ICU,Ukraine,UTAS.Co.,التموين الطبي العباسية,77000,10/18/2017,10/18/2017,10/18/2027,10/18/2027
13e9eb37-fca0-4f6d-9a86-681bcaa3d879,ventilator,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Incubation Department,Germany,NA,مديرية الشئون الصحية,68000,9/30/2016,9/30/2016,9/30/2026,9/30/2026
14d39f68-2aad-4431-b692-48bd70a3e198,Xray beam limiting device,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Radiology Department,Japan,NA,مديرية الشئون الصحية,678893,9/30/2018,9/30/2018,9/30/2028,9/30/2028
15149446-5dd0-4aa8-8661-dcfccd0476ee,Anesthesia Units,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Hospitality Operation Department,United Kingdom,Penlon,مديرية الشئون الصحية,19000,9/30/2018,9/30/2018,9/30/2028,9/30/2028
1823d036-7511-4bba-be8d-0d1ca5957d59,Monitor,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,ICU,Germany,Dragar infinity kappa,التموين الطبي العباسية,77000,10/18/2017,10/18/2017,10/18/2027,10/18/2027
1d762e62-52d4-465a-8fa0-93191b68120b,Hemodialysis Machine,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,Hemodialysis Department,Germany,B.BRAUN,التموين الطبي العباسية,78780,2/15/2018,2/15/2018,2/15/2028,2/15/2028
256272ad-23dd-4600-994a-03763b0a909a,Monitor,مدن القناة,السويس,الأربعين,68 Hospital,AsBuild,Working,ICU,Germany,Dragar infinity kappa,التموين الطبي العباسية,77000,10/18/2017,10/18/2017,10/18/2027,10/18/2027
